video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"UrW9fVZ3zdg","Resumen de Real Madrid vs FC Barcelona (2-0)","2020-03-01T23:07:13.000Z","UCTv-XvfzLX3i4IGWAm4sbmA","LaLiga Santander","17","20.03.03","española|oficial|soccer|football|spanish league|laliga|resumen|highlight|Real Madrid vs FC Barcelona|sp:st=soccer|sp:vl=es|sp:dt=2020-03-01T20:00:00Z|sp:ti:home=rma|sp:ti:away=fcb|sp:ty=high|sp:or=2|sp:li=liga|Vinícius|Vinícius Jr|Vinicius Jr|Vinicius|Benzema|Isco|Kroos|Marcelo|Casemiro|Sergio Ramos|Varane|Carvajal|Mariano|Messi|Griezmann|Busquets|ter Stegen|Piqué|Braithwaite|Umtiti|Jordi Alba|elclásico|elclasico|clásico|clasico|real madrid|fc barcelona|barça|barca","4293558","54663","3960","2762","https://i.ytimg.com/vi/UrW9fVZ3zdg/default.jpg","False","False","El Real Madrid vuelve a ser líder tras ganar #ElClásico del Bernabéu con los goles de Vinícius Jr y Mariano en la segunda parte #RealMadridBarça. LaLiga Santander 2019/2020Suscríbete al canal oficial de LaLiga Santander en HD | 2020-03-01 00.00h | J26 | RMA | BARLaLiga Santander on YouTube: http://goo.gl/Cp0tCLaCopa on YouTube: http://bit.ly/1P4ZriPLaLiga SmartBank on YouTube: http://bit.ly/1OvSXbiFacebook: https://www.facebook.com/LaLigaTwitter: https://twitter.com/LaLigaInstagram: https://instagram.com/laligaGoogle+: http://goo.gl/46Py9"
"ztbPPOheSLM","Lugano quebrando o Fred no Desafio!","2020-03-01T22:00:06.000Z","UCFjrDmEnxrG5TRGVO0TPHLA","Desimpedidos","17","20.03.03","desimpedidos|bolivia|futebol humor|futebol comedia|engraçado|futebol|zueira|gol|golaço|tricks|soccer|mitagem|dibre|drible|time|disimpedidos|disimpididos|desimpididos|diego lugano|leandro|são paulo|copa|seleção|capitão|campeão|chulapa|carrinho|lesão|pé|quebrado","697812","80570","925","2301","https://i.ytimg.com/vi/ztbPPOheSLM/default.jpg","False","False","Hoje vai bater uma saudade no torcedor do São Paulo e em quem viu essas figuras jogarem, Lugano e Leandro marcam presença no Desafio do Fred. Já viu que vai ser pesado né? Então, senta o dedo no like rapaziada!Segue a gente no Insta: http://bit.ly/seguenoisnoinstaEste é o canal Desimpedidos: o lar da ousadia e alegria, o pojéto do Luxa que deu certo. Quer saber mais? DESCUBRA! És habib.CONTATO: contato@desimpedidos.com.br / imprensa@nwb.com.br--------------------------Experimente 1 mês grátis do banco de trilhas Epidemic Sound: http://bit.ly/epidemicnwb-------------------------Segue a NWB também: @nwb.oficial"
"fG9ZPMq7eyk","CONSEGUI COMPRAR O MEU PROPRIO CARRO❤️❤️","2020-03-01T21:40:48.000Z","UC9eXFedzizQtlY5snZ-IFkg","Sunaika Bruna","24","20.03.03","sunaika bruna|sunaika souza|bruna sunaika","531020","110805","939","2692","https://i.ytimg.com/vi/fG9ZPMq7eyk/default.jpg","False","False","Depois de tantos anos esperando a hora chegar, consegui comprar meu carrinho!!! Com o fruto do meu trabalho, com o meu suor, com dignidade! Pra TUDO nessa vida tem a hora certa! Ha alguns anos atras eu fui numa concessionaria tentar financiar e nao consegui, e hoje ver que eu consegui, é  muito gratificante!! ESPERO MUITOOOOO  que vcs gostem do video!!!"
"LjKUh1byL-k","FUTURO EX-PORTA","2020-03-02T14:00:04.000Z","UCEWHPFNilsT0IfQfutVzsag","Porta dos Fundos","24","20.03.03","porta dos fundos|kibe loco|fabio porchat|gregorio duviver|ian sbf|antonio tabet|joão vicente de castro|comedia|humor|engraçado|funny|comedy|risos|risadas|hilario|bizarro|parodia|satira|cotidiano|o limite do humor|concurso|reality show|elenco|ator|atriz|concorrência|atuação|canal|contratação|teatro|fama|famoso|celebridade|diretor|olheiro|multishow|globo|rico","367518","55356","460","987","https://i.ytimg.com/vi/LjKUh1byL-k/default.jpg","False","False","Inscreva-se: https://www.portadosfundos.com.br/futuroexEi, você! Você mesmo! Sempre quis ser ator do Multishow? Sempre quis fazer participações no Zorra? Aparecer em notas na Revista Ti Ti Ti? Sua hora chegou! Largue agora essa carreira falida no stand up e essas peças cabeça que você monta pra ninguém, venha ser o Futuro ex Porta no nosso mais novo reality show! Estamos em busca de um novo ator para compor nosso elenco, para depois ele ser assediado por olheiros da Globo e nos trocar para atuar numa novela espírita das 7. Ou para criar seu próprio talk show no GNT. Talvez uma série na Netflix. Influencer sexy no Instagram. No mínimo você pode começar a cantar. Enfim, não perca tempo. E por favor, não atrapalhe o Rafael Portugal nas cenas.ELENCORafael PortugalNathalia CruzJorge HissaMAKING OF: https://youtu.be/QbBg708GD7gBAIXE O APP DO PORTAAndroid: http://bit.ly/2zcxLZOiOS: https://apple.co/2IW633jTRADUÇÃO E LEGENDAGEMDispositivaJosniel RodriguezEsse é o canal Porta dos Fundos. Lançamos vídeos todas as segundas, quintas e sábados às 11h."
"FHpG4gKLWJ4","POR QUE EU NUNCA NAMOREI?","2020-03-01T23:15:18.000Z","UCoTM-vvs2hnv2mCvzNJ5uXA","Franciny Ehlke","22","20.03.03","FRAN|FRANCINY|EHLKE|DESAFIO|PERGUNTAS","490867","114635","1269","4416","https://i.ytimg.com/vi/FHpG4gKLWJ4/default.jpg","False","False","➭ CLICA AQUI PARA SE INSCREVER https://www.youtube.com/user/francinyehlke?sub_confirmation=1  e ative as notificações para não perder nada!! ❤➭ Instagram @francinyehlke➭ Contato profissional contato@francinyehlke.com ➭  Para me mandar coisas: Caixa Postal: 38 cep 83702-970 ♥"
"erS5qLxdU4Y","SÃO PAULO 2X1 PONTE PRETA - ANÁLISE E NOTAS","2020-03-01T22:47:14.000Z","UC0GUaQ6lVzvu0FWklbsKFhg","BAROLO VÍDEOS","17","20.03.03","#spfc|#tricolor|#foraleco|#saopaulo|#morumbi|#blogdobarolo|#barolo|#futebol|#tricolordomorumbi","104219","17318","214","858","https://i.ytimg.com/vi/erS5qLxdU4Y/default.jpg","False","False","PRODUTOS DO CANAL DO TIOZINHO - ENTRE NO SITE E CONFIRA:https://www.qestilos.com.br/search/?q=BAROLOCANAL BOTEKO DO BAROLO NO YOTUBE:https://www.youtube.com/channel/UCukVuQspRmzLqHk-7lxltUQCANAL RESENHA TRICOLOR NO YOUTUBE: https://www.youtube.com/channel/UCOgLgKAPhonRcIr2xhp3BnA  QESTILOS Facebook: CellosOficial Qestilos Instagram: QestilosCelebridades oficiaisSites oficiais: www.usecellos.com.br www.qestilos.com.br"
"LWl8gcLHEUY","Jornal da Manhã - 02/03/2020","2020-03-02T15:02:41.000Z","UCP391YRAjSOdM_bwievgaZA","Jovem Pan News","25","20.03.03","Jovem Pan|Notícias|Brasil|Política|Jornal da Manhã|Josias de Souza|Marco Antônio Villa|Rodrigo Constantino|Denise Campos de Toledo|Ao vivo|Jovem Pan ao vivo|Jornal da manhã ao vivo|Jornal da manhã Jovem Pan|Bolsonaro|Jair Bolsonaro|Governo|STF|Supremo|coronavirus|pra cima deles","212686","6160","387","18","https://i.ytimg.com/vi/LWl8gcLHEUY/default.jpg","False","False","Inscreva-se no nosso canal:http://www.youtube.com/c/jovempannewsEntre no nosso site:http://jovempan.com.br/Facebook:https://www.facebook.com/jovempannewsSiga no Twitter:https://twitter.com/JovemPanNewsInstagram:https://www.instagram.com/jovempannewsoficial/#JovemPan #JovemPanNews"
"Ih04PObuqn0","🔥BBB20: Prior escapa do paredão + Tiago protege Pyong de comentário de Gui + VH afronta coreano","2020-03-02T04:21:07.000Z","UC0LlPl_mWhIFqVxcH1l3xpQ","WebTVBrasileira","24","20.03.03","bbb|bbb20|big brother brasil|rede bbb|webtvbrasileira|taticelo|participantes do bbb20|bbb gshow|bbb globo|bbb 20 ao vivo|bbb 20 participantes|vinheta do bbb 20|eliminação|paredão|festa|prova do lider|reality show|programa 01/03/2020|programa 01\/03\/2020|paredão triplo|big fone|anjo|webtvezeiros|anjo vermelho|jogo da discordia|muro|pipoca|camarote|quem ganhou o bbb20|quem foi eliminado do bbb20|quem saiu do bbb20|quem perdeu a prova|bate e volta bbb20","331307","38056","1164","3063","https://i.ytimg.com/vi/Ih04PObuqn0/default.jpg","False","False","#FalandoDeBBB #BBB20 #WebTVBrasileiraBora COMPARTILHAR e COLABORAR para o CRESCIMENTO do CANAL👊🏻Suru-BÃO WebTVzeiros (GRUPO BATE-PAPO)http://www.discord.gg/webtvbrasileira💜Embelleze VDTorne-se um consultor: https://escritorio.embellezevd.com/register/WebTVCompre produtos exclusivos Embelleze VD: https://webtv.embellezevd.com/Inscreva-se no canal WebTVZeiros Embelleze VD: https://www.youtube.com/channel/UC-H_NLtnwEwoYcrAecE99PQINSCREVA-SE: https://www.youtube.com/subscription_center?add_user=webtvbrasileira💥Se vc usa IOS, torne-se um membro do Clube WebTVBr clicando neste link: https://www.youtube.com/webtvbrasileira/joinPROGRAMAÇÃO DESTE MÊS:🔥#HoraDaFofoca AO VIVO: de Segunda a Sexta - 20h👀#FalandoDeBBB AO VIVO: Todos os dias depois do programa da GloboNA REDE:#WebTVBrasileiraTwitter: http://www.twitter.com/WebTVBrasileiraFacebook: http://www.facebook.com/MotionTVOficialInstagram: https://www.instagram.com/webtvbrasileira/Tati MartinsFacebook Page: http://www.facebook.com/TatiMartinsOficialFacebook Perfil: https://www.facebook.com/tati.martins.31508Instagram: https://www.instagram.com/tatimartinsofficial/Marcelo CarlosTwitter: https://twitter.com/marcelowebtvFacebook: https://www.facebook.com/marceloattbi?fref=tsInstagram: https://www.instagram.com/marcelowebtv/Participantes bbb20Babu santana bbb20, bianca andrade bbb20, felipe bbb20, flayslane bbb20, gabi martins bbb20, gizelly bbb20, lucas chumbo bbb20, hadson bbb20, guilherme bbb20, pyong lee, bbb20,  manu gavassi bbb20,  lucas bbb20, marcela bbb20, mari gonzales bbb20, thelma bbb20, petrix barbosa bbb20, rafa kalimann bbb20, victor hugo bbb20, bbb20 boca rosa, bbb20 daniel, bbb20 ivy,"
"7LZEwf-NL-E","SEM DINHEIRO? SEM PROBLEMA! - (Apps e Jogos Grátis para PC.)","2020-03-01T22:52:05.000Z","UCuxfOdbKQy0tgGXcm9sjHiw","Coisa de Nerd","28","20.03.03","leon|coisadenerd|coisa de nerd|português|brasil|pt-br|br|aplicativos grátis|aplicativos|grátis|gratuitos|aplicativos gratuitos|apps grátis|apps|apps gratuitos|apps para PC|aplicativos para PC|PC|windows|windows 10|mac|mac os|linux|games|games grátis|games gratuitos|jogos|jogos gratuitos|jogos grátis|game|jogo|editor de vídeo|editor de vídeo grátis|editor de vídeo gratuito|resolve|gimp 2|photoshop grátis|handbrake|podcast|editor de áudio|software|opensource","381441","75776","458","2623","https://i.ytimg.com/vi/7LZEwf-NL-E/default.jpg","False","False","LARGUE UM JOINHA NO VÍDEO!Camisetas Coisa de Nerd: http://bit.ly/2arsmPrEste é um vídeo sobre aplicativos (apps) e games (jogos) grátis para PC (Windows, Mac OS e Linux). Você sabia que pode editar vídeos, editar imagens jogar games triplo A, gravar podcast e muito mais no PC, sem gastar nada? Tudo de graça, 0800, for free!Aplicativos:DaVinci Resolve (editor de vídeo): https://www.blackmagicdesign.com/products/davinciresolve/Epic Launcher (Games): https://www.epicgames.com/unrealtournament/downloadGIMP 2 (editor de imagens/fotos): https://www.gimp.org/Audacity (editor/mixagem de áudio): https://www.audacityteam.org/Libre Office (Office gratuito): https://www.libreoffice.org/HandBrake (conversor de vídeo): https://handbrake.fr/Notion (anotações): https://www.notion.so/República CdN: https://www.youtube.com/channel/UChmOR1T5ZNnbRUba3lHRTOgCadê a Chave: https://www.youtube.com/cadeachaveInstagram do Leon: https://instagram.com/cdnleon/Instagram da Nilce: https://instagram.com/nilmoretto/"
"TkOJfK9-2Lk","A ZOO SALVARIA EU OU O GAEL?","2020-03-02T01:14:28.000Z","UC1UHfW5LkMIlz6FHnEHbXlQ","Christian Figueiredo","22","20.03.03","euficoloko|eu fico loko 2|euficolouco|lokão|reallity|daily vlog|vídeos diários|dia a dia|Christian Figueiredo|rotina de christian figueiredo|dia a dia do lokão|filme|filme biográfico|bebê|gravidez|paternidade|christian vai ser pai|zoo vai ser mãe|chris grávido|gael|filho de christian figueiredo|bastidores|respondendo fãs|pais de primeira viagem|família figueiredo|situações sobre a gente|faq|casal jovem|pais jovens|o que você faria|tag|challenge","308718","92245","482","1434","https://i.ytimg.com/vi/TkOJfK9-2Lk/default.jpg","False","False","@christian_fig"
