video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"UULaol26dIs","훈련사도 포기한 강아지 샤페이 또또 2부｜내 강아지의 공격성 The aggression of my dog","2020-03-02T09:45:01.000Z","UCee1MvXr6E8qC_d2WEYTU5g","강형욱의보듬TV","15","20.03.03","강형욱|강형욱훈련사|보듬|보듬컴퍼니|BODEUM|강아지|반려견|개|Dog|puppy|いぬ|犬|子犬|小犬|こいぬ|교육|훈련|세나개|discipline|training|訓練|教育|반려동물|dogyoutube|강아지유튜브|doggy|ボドゥム|カン・ヒョンウク|hunterkang|Koreandogtrainer|개훌륭|개는훌륭하다|강아지강씨|Dogs Are Incredible|KBS|Kang Hyong Wook|반려견행동전문가|훈련사|trainer|handler|Trained attendant|doggy guru|guru|내강아지의공격성|강아지공격성|샤페이|샤페이공격성|개물림|강아지물림|개물림사고|강아지물림사고|개공격성|반려견공격성|강아지공격성교육|개공격성교육|반려견공격성교육|보듬공격성교육|강형욱공격성교육|토종견공격성|토종개공격성","378971","6282","153","929","https://i.ytimg.com/vi/UULaol26dIs/default.jpg","False","False","[Eng sub/日本語字幕]함께할 행복을 꿈꾸며 데려온 보호자의 첫 강아지.하지만 일반적인 어린 강아지들과는 다른 모습의 또또.심각해진 또또의 공격성에 깊어가는 몸과 마음의 상처.훈련사들에게 도움을 청해봤지만 계속되는 교육 실패...심지어 훈련사의 얼굴까지 물었다?!훈련사도 포기해버린 또또를 위한 솔루션은 무엇일까?강형욱의 보듬TV `내 강아지의 공격성`에서훈련사도 포기한 강아지 샤페이 또또의 공격성을 진단해 봅니다.#터치에대한공격성 #과한청결의식공격성 #무는개공격성 교육은 보호자님과 반려견의 안전을 위해 전문가와 진행해주세요.공격성은 반드시 꾸준한 교육과 관리가 필요합니다.유튜브 '강형욱의 보듬TV' 신규 콘텐츠에 출연하실'반려견의 공격성으로 고민하는 보호자님'을 찾습니다.▶ '내 강아지의 공격성' 출연 신청방법아래 내용을 작성하여 신청 메일을 보내주세요.* 신청서 보내실 곳  bodeumofficial@naver.com1) 반려견의 이름, 견종, 나이 등 : 2) 보호자 연락처 : 3) 고민하고 계신 공격성에 대해 최대한 상세하게 설명해주세요 : 4) 필수항목 - 반려견의 공격성을 파악할 수 있는 영상 첨부(CCTV 영상, 기존에 촬영한 공격 장면 영상 혹은 공격성의 짐작할 수 있는 상황의 영상이나 사진)▶보듬 공식 홈페이지 https://www.bodeum.co.kr　▶보듬 공식 페이스북https://www.facebook.com/bodeum0527혼내지 않아도 혼나지 않아도 되는 반려견 교육, 보듬"
"pwD09TYSGeE","전세계를 홀린 '방탄소년단'의 'ON' 인기가요 컴백무대! / DIRECTOR's CUT","2020-03-01T07:49:30.000Z","UCS_hnpJLQTvBkqALgapi_4g","스브스케이팝 / SBS KPOP","24","20.03.03","Inkigayo|BTS|방탄소년단|인기가요","3238906","372543","2719","11037","https://i.ytimg.com/vi/pwD09TYSGeE/default.jpg","False","False","전세계를 홀린 '방탄소년단'의 'ON' 인기가요 컴백무대! / DIRECTOR's CUTCOMEBACK!넘어져도 다시 일어나 scream!BTS, 'ON' 컴백무대!인기가요에서 특별히 스브스 케이팝에 본방과 다른 버전을 제공해줬습니다.미묘한 차이도 크게 만드는 'BTS'의 무대를 함께 즐겨보세요!방탄소년단 - ON (BTS - ON)#BTS #방탄소년단 #ON"
"cfHtYTtjTLU","엎드려 사죄 구합니다 두 번 무릎 꿇은 이만희 신천지 총회장 (풀영상) / SBS","2020-03-02T07:46:27.000Z","UCkinYTS9IHqOEwR1Sze2JTw","SBS 뉴스","25","20.03.03","[none]","356767","1648","1562","1463","https://i.ytimg.com/vi/cfHtYTtjTLU/default.jpg","False","False","#SBS8뉴스 #SBS뉴스 #코로나19 #실시간 으로 만나 보세요라이브 뉴스 채널 SBS 모바일24※ 원활한 서비스 환경을 위해 LIVE 스트리밍 서버를 재부팅할 수 있습니다. 시청 중 '종료' 알림이 뜨더라도, 홈 화면 (https://www.youtube.com/sbs8news) 에서 곧 재개됩니다.▶SBS 뉴스 제보하기홈페이지: https://news.sbs.co.kr/news애플리케이션: 'SBS 뉴스' 앱 설치하고 제보카카오톡: 'sbs 뉴스'와 친구 맺고 채팅페이스북: 'sbs 뉴스' 검색해 메시지 전송이메일: sbs8news@sbs.co.kr 문자: #6000전화: 02-2113-6000▶SBS 뉴스 채널 구독하기 : https://n.sbs.co.kr/youtube ▶SBS 뉴스 라이브 : https://n.sbs.co.kr/live"
"H-5boHmeovQ","[풀영상] 신천지 이만희 총회장 '코로나19' 기자회견","2020-03-02T09:49:00.000Z","UCcQTRi69dsVYHN3exePtZ1A","KBS News","25","20.03.03","신천지|이만희|총회장|코로나|코로나19|우한|폐렴|가평|평화의궁전|기자회견|라이브|LIVE|KBS|이만희 시계|이만희 눈동자","521453","1637","1673","755","https://i.ytimg.com/vi/H-5boHmeovQ/default.jpg","False","False","신천지예수교 증거장막성전(이하 신천지) 이만희 총회장이 코로나19 사태에 관해 직접 공식 입장을 발표합니다. 신천지 신도 사이에서 코로나19 확진자가 급증한 뒤, 이 총회장이 공식석상에서 입장을 밝히는 것은 이번이 처음입니다. 신천지는 현재 국내 코로나19 확산에 대한 입장과 앞으로의 계획 등을 오늘 기자회견에서 밝힐 예정입니다.#코로나19 #신천지 #이만희"
"bYdDxEa3us8","[EPISODE] BTS (방탄소년단) 'ON' MV Shooting Sketch","2020-03-02T09:00:00.000Z","UCLkAepWjdylmXSltofFvsYQ","BANGTANTV","10","20.03.03","방탄소년단|BTS|BANGTAN|HIPHOP|알엠|RM|슈가|SUGA|제이홉|jhope|지민|JIMIN|뷔|정국|JUNGKOOK|진|JIN","2032255","523083","896","14309","https://i.ytimg.com/vi/bYdDxEa3us8/default.jpg","False","False","Connect with BTS:http://www.ibighit.comhttp://twitter.com/BTS_bighithttp://twitter.com/BTS_twthttp://www.facebook.com/bangtan.officialhttp://instagram.com/BTS.bighitofficialhttps://channels.vlive.tv/FE619https://www.tiktok.com/@bts_official_bighithttps://app.weverse.io/gpt4o http://weibo.com/BTSbighithttps://www.weibo.com/BTSmemberhttp://i.youku.com/btsofficialhttp://btsblog.ibighit.com"
"D-mvt8VUjhw","신천지 교주 이만희의 전재산 총공개","2020-02-29T08:45:01.000Z","UCfveR_tzzmBl79XziG8_9gQ","두유노Do you Know","22","20.03.03","이만희|이만희 재산|이만희 부동산|이만희 재력|이만희 연봉|이만희 성금|신천지 재산|신천지 자산|신천지 헌금|신천지 부동산|신천지 전재산|이만희 전재산|이만희 실체|이만희 설교|이만희 김남희","902411","11635","1119","3817","https://i.ytimg.com/vi/D-mvt8VUjhw/default.jpg","False","False","사이비 종교라 평가받는 신천지의 이만희 교주의 재력과 재산에 대한 이야기입니다정상적인 유튜브가 허용한 공유방식이 아닌 모든 불펌형태의 방식을 불허합니다. 영상공유시 유튜브에서 허용한 정상적인 방법으로만 부탁드립니다 p.s 두유노의 돈에관한이야기는 최대한 팩트에 근거해 만들어지나,타인의 재산은 누구도 100%알수 없는만큼 오차가 있을수 있다는점을 양해부탁드리며, 언론에 공개된 자료를 근거해 어느정도 수준이구나 정도로만 재미로 봐주시기바랍니다^^더불어 세금은 어떻게 신고하고 얼마를 소비했는지등에 따라 수백수천개의 경우의수로 천차만별이라 포함하지 않는점 참고부탁드립니다^^"
"E3aiScscUJA","[YTN LIVE] 신천지 이만희 총회장 기자회견","2020-03-02T07:43:01.000Z","UChlgI3UHCOnwUGzWzbJ3H5w","YTN NEWS","25","20.03.03","[none]","348981","1491","1261","713","https://i.ytimg.com/vi/E3aiScscUJA/default.jpg","False","False",""
"Kc8b4cWEnLI","방탄소년단 'ON’ 뮤직뱅크 1위 앵콜 직캠 (BTS 'ON' Encore Fancam) │ @MusicBank 200228","2020-03-02T05:44:57.000Z","UCeLPm9yH_a_QH8n6445G-Ow","KBS Kpop","10","20.03.03","KBS|KPOP|뮤직|KBSKPOP|K-POP|케이팝|kpop|KBSKpop|음악|bts|방탄소년단|방탄|지민|jimin|제이홉|j-hope|RM|정국|jungkook|슈가|sugar|뷔|진|JIN|랩몬스터|랩몬|아미|army|방탄소년단 직캠|방탄소년단 풀캠|지민직캠|제이홉직캠|RM직캠|BTS fancam|뷔 직캠|슈가 직캠|정국 직캠|진 직캠|방탄 블랙스완|Black Swan Fancam|BTS ON|ON 직캠|방탄소년단 ON|방탄 ON","462668","45021","236","1810","https://i.ytimg.com/vi/Kc8b4cWEnLI/default.jpg","False","False","#BTS #On_1위More from #KBSKPOPTwitter:       https://twitter.com/StudioK_twitInstagram: https://www.instagram.com/studiok__official/"
"tyeDg0RoSaA","[생중계] '코로나19' 특별방송-신천지 이만희 총회장 긴급 기자회견/정부 중앙방역대책본부 정례 브리핑/국회 대정부질문","2020-03-02T09:49:53.000Z","UClAfLVQYZSLrMAQQ_SXPVZw","OhmynewsTV","25","20.03.03","[none]","112575","1719","108","108","https://i.ytimg.com/vi/tyeDg0RoSaA/default.jpg","False","False","[생중계] '코로나19' 특별방송-신천지 이만희 총회장 긴급 기자회견/정부 중앙방역대책본부 정례 브리핑(화면제공:KTV)/국회 대정부질문(화면제공:NATV 국회방송)#코로나19 #신천지 #이만희 #정부브리핑* '매월 1만원' 자발적 시청료 내기 10만인클럽 010-3270-3828"
"gcx6zQlYmUk","응원하는유형ㅋㅋㅋ (feat.식빵 언니)","2020-03-01T00:37:20.000Z","UCGS6cF75ZieNdszK_3BrQZQ","급식걸즈","23","20.03.03","급식왕|두더지|발가락쌤|징징이|방울이|학교|웃긴영상|급식게임즈|유형|재밌는영상|밍꼬발랄|깝숙이|배구|김연경|식빵언니|흔한남매|보물섬|플레이리스트|웹드라마|재밌는|배구선수|배구스파이크|배구레전드","377807","6988","505","2063","https://i.ytimg.com/vi/gcx6zQlYmUk/default.jpg","False","False","#급식왕 #배구 #유형 비즈니스 메일:  schoolfoodgirls@sandboxnetwork.net 급식왕 채널 링크 https://www.youtube.com/channel/UCJundLkbjldzL60kFfKm1vQ급식게임즈 채널 링크 https://www.youtube.com/channel/UCCWHOI_Xth7mINE98Nprz6A급식커플 채널 링크https://www.youtube.com/channel/UCEDR6NjX2VL5S3DJ1ENRIYw급식걸즈를 시청해 주셔서 감사합니다. 항상 최선을 다하겠습니다"
