video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"C7o-ZgXFIfA","HACIENDO MÚSICA CON EL PRODUCTOR DE “TUSA” 😱 EL PRIMER DIENTE DE KIMA 💖 Kimberly Loaiza","2020-03-01T21:32:40.000Z","UCQZfFRohQ7UX-0CdXl-6pwQ","Kimberly Loaiza","22","20.03.03","team|juki|jukilop|teamjukilop|juan|de|dios|pantoja|reto|challenge|diversión|entretenimiento|vlog|blogs|nuevo|video|vlogs|blog|lindura|linduras|kimberly|loaiza|risas|musica","3152503","232693","8504","19241","https://i.ytimg.com/vi/C7o-ZgXFIfA/default.jpg","False","False","LINDURAS GRACIAS POR VER ESTE VIDEO ME ENCANTARIA QUE LE DIERAN LIKE Y LO COMPARTIERAN FUERA DE GRAN AYUDA ✨ Sígueme en mis redes sociales ✨Instagram: https://www.instagram.com/kimberly.loaiza/Pagina de Facebook: https://www.facebook.com/kimberlyloaizaa/?ref=br_tfTwitter: https://mobile.twitter.com/kimberlyloaiza_Contacto: marcaskim@gmail.com"
"UrW9fVZ3zdg","Resumen de Real Madrid vs FC Barcelona (2-0)","2020-03-01T23:07:13.000Z","UCTv-XvfzLX3i4IGWAm4sbmA","LaLiga Santander","17","20.03.03","española|oficial|soccer|football|spanish league|laliga|resumen|highlight|Real Madrid vs FC Barcelona|sp:st=soccer|sp:vl=es|sp:dt=2020-03-01T20:00:00Z|sp:ti:home=rma|sp:ti:away=fcb|sp:ty=high|sp:or=2|sp:li=liga|Vinícius|Vinícius Jr|Vinicius Jr|Vinicius|Benzema|Isco|Kroos|Marcelo|Casemiro|Sergio Ramos|Varane|Carvajal|Mariano|Messi|Griezmann|Busquets|ter Stegen|Piqué|Braithwaite|Umtiti|Jordi Alba|elclásico|elclasico|clásico|clasico|real madrid|fc barcelona|barça|barca","4293558","54664","3960","2762","https://i.ytimg.com/vi/UrW9fVZ3zdg/default.jpg","False","False","El Real Madrid vuelve a ser líder tras ganar #ElClásico del Bernabéu con los goles de Vinícius Jr y Mariano en la segunda parte #RealMadridBarça. LaLiga Santander 2019/2020Suscríbete al canal oficial de LaLiga Santander en HD | 2020-03-01 00.00h | J26 | RMA | BARLaLiga Santander on YouTube: http://goo.gl/Cp0tCLaCopa on YouTube: http://bit.ly/1P4ZriPLaLiga SmartBank on YouTube: http://bit.ly/1OvSXbiFacebook: https://www.facebook.com/LaLigaTwitter: https://twitter.com/LaLigaInstagram: https://instagram.com/laligaGoogle+: http://goo.gl/46Py9"
"4isGbqVMZDI","COMER, MATAR O CASAR (Con artistas del género) 😨 Juan de Dios Pantoja FT. Ovyonthedrums","2020-03-01T21:33:00.000Z","UCzoUWqjCbcfWFdOMvoep8FA","Juan De Dios Pantoja","22","20.03.03","Team|juki|Juan|De|Dios|Pantoja|jd|youtube|retos|reto|tag|tags|Challenge|nuevo|video|risa|comedia|diversión|extremo|música|roast","620121","74360","1284","5094","https://i.ytimg.com/vi/4isGbqVMZDI/default.jpg","False","False","Hola familia PANTOJITA 💎 gracias por tenerme de nuevo en sus pantallas 😃 estoy muy contento y agradecido por todo el apoyo que siempre me dan, GRACIAS POR SER PARTE DE ESTA FAMILIA QUE TANTO AMO ❤️🙏🏻▪️SIGUEME EN MIS REDES SOCIALES QUIERO CONECTARME MAS CONTIGO:• INSTAGRAM: @JuandediosPantoja -  https://bit.ly/2vWtdSj • TWITTER:  @Juandedios_P - https://bit.ly/2OY3UYN• PAGINA DE FACE: Juan De Dios Pantoja Corona - https://bit.ly/2KHVW2E 📩 : marcasjddp@gmail.com"
"yUlcR0LDky8","DOHERTY, JOTA & JIMENEZ! Wolves comeback to win at Spurs | Tottenham Hotspur 2-3 Wolves | Highlights","2020-03-01T22:00:13.000Z","UCQ7Lqg5Czh5djGK6iOG53KQ","Wolves","17","20.03.03","wolves|wolverhampton wanderers|wolverhampton wanderers fc|wwfc|official wolves|officialwolves|football|soccer|Wolverhampton|Raul Jimenez|Diogo Jota|Matt Doherty|Tottenham Hotspur","629241","12973","307","1035","https://i.ytimg.com/vi/yUlcR0LDky8/default.jpg","False","False","Goals from Matt Doherty, Diogo Jota and Raul Jimenez give Wolves a sensational comeback victory over Spurs at the Tottenham Hotspur Stadium in the Premier League.#Doherty #Jota #Jimenez"
"tIDGwbdh410","Una Canción para Kima (Ovy on the Drums & Juan de Dios Pantoja)","2020-03-01T21:36:39.000Z","UC9vR20I0Qp-FRZvF4iXjcfQ","Ovy On The Drums","10","20.03.03","juan de dios pantoja|jd pantoja|kim|juki|jukilop|kimberly|kimberly loaiza|kima|ovy|ovy on the drums|paulo londra","481976","57221","754","4818","https://i.ytimg.com/vi/tIDGwbdh410/default.jpg","False","False","crear musica es un proceso hermoso y en esta ocacion Kima la hija de Juan de Dios Pantoja y Kimberly Loaiza fue la inspiracion de la cancion titulada 12 de Julio espero les encante la cancion, fue creada con toda el almaSígueme en mis redes:https://www.instagram.com/ovyonthedrums/https://www.youtube.com/channel/UC9vR20I0Qp-FRZvF4iXjcfQ/OVY ON THE DRUMS 2020"
"GuE9K7aYky8","Resumen y Goles | Chivas 2 - 0 León | Liga Mx Clausura 2020 - Jornada 8 | TUDN","2020-03-02T01:12:29.000Z","UCTIyEyDNHPrwVFPhpi5dm0A","TUDN México","17","20.03.03","Televisa|Univision|TUDN|Televisa deportes|Deportes|futbol mexicano|Liga Mx|Liga Mx 2020|Clausura 2020|Jornada 8|soccer|resumen|Chivas vs Leon|Uriel Antuna|Antuna|JJ Macias|Fernando Tena|Ricardo Pelaez|Gol de Chivas|Gol|Goles de Chivas|Goles|Resumen Chivas vs Leon|Goles Chivas vs Leon|Gol de JJ Macias|Gol de Beltran|sp:ty=high|sp:dt=2020-03-01T23:00:00Z|sp:st=soccer|sp:li=fmf|sp:ti:home=GDL|sp:ti:away=LEO","583795","5655","359","795","https://i.ytimg.com/vi/GuE9K7aYky8/default.jpg","False","False","¡Chivas gana, gusta y ya está en zona de Liguilla!El Rebaño Sagrado hila su segundo triunfo y ya tiene la Liguilla en la mira."
"eU5p3kJV7-0","Nos Choco un Carro y Terminamos con Lesslie en un Hospital en San Valentin - VLOG #102","2020-03-01T21:15:01.000Z","UCp4Fk7Xy_wYq8sFKcKNrQCA","Go Ami Go!","22","20.03.03","Ami Rodriguez|lesslie polinesia|youtuber colombiano|youtuber divertido|youtubers randoms|xd|youtubers chistosos|youtubers raros|ah|youtuber mexicana|baby|lessami|jaja|choque de carros|youtubers hospital|terminamos en un hospital|cita de san valentin fail|san valentin fail|ami lesslie san valentin","1012401","83562","2643","8408","https://i.ytimg.com/vi/eU5p3kJV7-0/default.jpg","False","False","FIESTA DE NO CUMPLEAÑOS: https://www.youtube.com/watch?v=r1uu31bySdcAquí consigues EL DIARIO SECRETO DE AMI con SORPRESAS: https://www.eldiariosecretodeami.com/MI BABY:***CANAL: https://www.youtube.com/channel/UClnKzwo9CPkYix6V9jK4JTQ***Facebook: http://www.facebook.com/TeamLesslie***Twitter: http://www.twitter.com/PPTeamLesslie***Instagram: http://www.instagram.com/PPTeamLesslie¡¡Sigueme Terrícola!! Spotify MIS CANCIONES: http://smarturl.it/DivayourselfSPCanal de Juguetes: https://www.youtube.com/juguetesvsamiCanal Principal: https://youtube.com/AmiRodrigueZZNUEVO CANAL SAMY: https://www.youtube.com/channel/UCWj1...Facebook: https://facebook.com/AmiRodrigueZZZTwitter: https://twitter.com/AmiRodrigueZZInstagram: https://instagram.com/amirodriguezzTik Tok: amirodriguezzContacto: gooamigoo@gmail.com"
"6k_H33_GmS0","VAMOS A UN C3MENTERIO 😱 A LAS 3:33 AM |Yair17, tupadrino, Antronix","2020-03-01T22:10:49.000Z","UCJaufW0VlPcZEmRr7MvYvGg","WATZAP","20","20.03.03","#freefire #watzap #videoswatzap #watzapfreefire #whatsaap|cementerio|yair17|cementerio 3:33|antronix cementerio|machika|barbie|watzap cementerio|tuadrino cementerio","562406","91217","1283","5902","https://i.ytimg.com/vi/6k_H33_GmS0/default.jpg","False","False","Sígueme en Nimo Guapeton👉 https://www.nimo.tv/watzapDescarga Nimo para mis directos y sorteos:https://nimotv.onelink.me/B6cW/a58a377▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬★Instagram★ https://www.instagram.com/watz4p/★Facebook★ https://web.facebook.com/PapiWATZAP★Twitter★ https://twitter.com/WATZAPPUTOS★Correo De Negocios★ watzapputillos@hotmail.com▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬"
"0ZeDoZyfKdc","Preguntas picantes con Tavo | Eso no lo veía venir","2020-03-01T21:45:12.000Z","UCExB-_VCdrh90gIVSxJmpRg","Lizbeth Rodriguez","24","20.03.03","lizbeth rodriguez|Tavo Betancourt|preguntas|alitas|comida|picantes|sinceridad|competir|ganar|amistad|honestidad|juego","367762","23565","932","1840","https://i.ytimg.com/vi/0ZeDoZyfKdc/default.jpg","False","False","Amigos están de acuerdo que Tavo no se me podía escapar de las famosas preguntas picantes, se van a sorprender de las cosas que nos enteramos como jamás antes nos habíamos hablado, así que quédense porque el chisme estará buenísimo ¿Me acompañan? 🔥🔥🔥SÍGUEME EN TODAS MIS REDES SOCIALES  🔥🔥🔥🔥Instagram: @LizbethRodriguezOficial🔥Youtube:  @Lizbeth Rodriguez 🔥Facebook: @LizbethRodriguezOficial🔥Twitter: @SoyLizbethMx@Tavo Betancourt #LizbethRodriguez #TavoBetancourt📭contactolizbethrdz@gmail.com"
"VhEU4QOq8C8","QUE TALENTO TIENES ? | EDC 2020","2020-03-02T02:50:42.000Z","UCa_M7VbdEVTc1yRMclRmjpw","Islas Vlogs","22","20.03.03","islasvlogs|islas|islasblogs|islas vlogs talentos|talentos islas|edc|edc 2020|edc videos|festival cdmx|islas vlogs preguntas|islas videos|talentos|que talento tienes","291184","31047","302","1031","https://i.ytimg.com/vi/VhEU4QOq8C8/default.jpg","False","False","Hermanos fuimos a cazar talentos a EDC 2020 y este fue el resultado...NUEVO CANAL: https://www.youtube.com/channel/UCkaHkgcgcxtjEAaN7RIR-6ALOS AMO"
